Time,V,n,m,h
0.0,-63.817467,0.30473924,0.041064087,0.6068561
0.01,-66.22155,0.31781548,0.04333082,0.6039069
0.02,-66.11479,0.3165908,0.06958569,0.5995548
0.03,-65.80688,0.31206813,0.054058596,0.60231626
0.04,-65.66372,0.31610668,0.06682651,0.5951314
0.05,-64.62327,0.31684208,0.05681759,0.5950269
0.06,-65.78826,0.31637874,0.04146046,0.6044258
0.07,-63.37644,0.32742217,0.051197555,0.5989353
0.08,-62.071323,0.31456292,0.051307924,0.60212636
0.09,-64.66656,0.32687473,0.03334804,0.60217196
0.1,-62.847534,0.3145014,0.056906108,0.599108
0.11,-65.71166,0.31686926,0.040844448,0.60100734
0.12,-64.746025,0.31442332,0.051997468,0.6058587
0.13,-63.11928,0.3134607,0.06258696,0.59451735
0.14,-62.243378,0.31603858,0.052168682,0.6001612
0.15,-63.38675,0.31069577,0.0419941,0.60270154
0.16,-63.931606,0.32213145,0.025433982,0.5977396
0.17,-63.96022,0.32472885,0.0717172,0.5985374
0.18,-61.554302,0.32643294,0.07741767,0.5973154
0.19,-62.833416,0.32092115,0.073868066,0.60133916
0.2,-62.827774,0.3118852,0.043668516,0.60009617
0.21,-61.339134,0.31567478,0.062400803,0.6057714
0.22,-62.51645,0.3179518,0.056084134,0.5976315
0.23,-65.15887,0.3186526,0.07070276,0.59047323
0.24,-62.44679,0.31942266,0.06806654,0.60229355
0.25,-63.600155,0.3243436,0.024025284,0.6016954
0.26,-61.62544,0.32573235,0.0673775,0.59687454
0.27,-60.507713,0.3191547,0.042151585,0.59420204
0.28,-63.42333,0.31171384,0.080233596,0.598297
0.29,-63.846027,0.3247612,0.039345503,0.60327953
0.3,-61.03833,0.31005022,0.07306419,0.59864306
0.31,-62.735855,0.31437135,0.07812967,0.600835
0.32,-62.388557,0.3131781,0.046738237,0.6097366
0.33,-62.458862,0.3141044,0.08224915,0.59082884
0.34,-61.967773,0.3133768,0.056820452,0.5976079
0.35,-61.664413,0.32131827,0.04981553,0.60782796
0.36,-63.184494,0.3206127,0.055747934,0.58742404
0.37,-60.20263,0.31385976,0.031983808,0.603569
0.38,-59.59961,0.32494715,0.074126676,0.5974175
0.39,-60.87504,0.3220026,0.07171522,0.59598947
0.4,-59.599663,0.31868672,0.054131452,0.6015905
0.41,-63.155655,0.3218415,0.08023505,0.59026486
0.42,-59.037445,0.32156706,0.07915543,0.59579504
0.43,-61.199295,0.32609376,0.06444427,0.5972362
0.44,-62.13282,0.32422853,0.05958999,0.60189605
0.45,-62.413258,0.3056113,0.05996947,0.59560853
0.46,-59.4583,0.31371915,0.07476821,0.59671617
0.47,-60.238625,0.3132274,0.057648722,0.59638226
0.48,-61.108463,0.31637815,0.0613795,0.590541
0.49,-62.394222,0.32077613,0.0748527,0.6000544
0.5,-59.15827,0.31667504,0.09632179,0.5967361
0.51,-59.67986,0.32757318,0.0766019,0.5952325
0.52,-60.525974,0.32610703,0.074087515,0.5983796
0.53,-60.069363,0.3282504,0.078971066,0.5858047
0.54,-60.63864,0.32130924,0.056610756,0.59613734
0.55,-61.398148,0.31661904,0.072316535,0.59481966
0.56,-60.35407,0.31351364,0.0689065,0.58930933
0.57,-60.395172,0.33178446,0.08759529,0.60210204
0.58,-60.22858,0.31434566,0.07996664,0.5966588
0.59,-58.212753,0.32181144,0.051587097,0.59452003
0.6,-61.433228,0.32936183,0.08394145,0.5872217
0.61,-61.66502,0.31865615,0.06052559,0.5981417
0.62,-61.19507,0.32296777,0.09763104,0.5960812
0.63,-60.24194,0.31411907,0.116777316,0.590983
0.64,-59.548077,0.32501435,0.061551526,0.5896763
0.65,-59.68079,0.31887826,0.06651272,0.5969359
0.66,-57.125927,0.31530148,0.096481614,0.58690864
0.67,-59.876278,0.3176181,0.08600901,0.58710986
0.68,-60.649517,0.3163096,0.11624847,0.58686745
0.69,-56.17787,0.33251682,0.08419439,0.5805559
0.7,-59.54804,0.32178077,0.09314027,0.5916689
0.71,-59.014393,0.31356573,0.100114375,0.5877368
0.72,-57.59847,0.32706276,0.08420746,0.58655095
0.73,-58.86468,0.31723088,0.08649525,0.5946339
0.74,-59.344944,0.3229947,0.088648796,0.5836462
0.75,-60.607872,0.3262579,0.09637826,0.5922544
0.76,-58.569378,0.32960775,0.07549916,0.5828856
0.77,-60.536385,0.31924272,0.10593891,0.58657277
0.78,-61.729427,0.32290873,0.07674655,0.5847061
0.79,-55.396446,0.33269605,0.08884924,0.5909933
0.8,-56.840603,0.32451624,0.0737454,0.5852038
0.81,-59.798847,0.31838456,0.097689405,0.58470607
0.82,-56.741676,0.32568586,0.1069226,0.5842904
0.83,-56.7601,0.32823464,0.07304883,0.5838522
0.84,-58.064873,0.3333911,0.09331767,0.5832461
0.85,-56.358303,0.32549435,0.07487018,0.58913153
0.86,-58.186474,0.32918757,0.10537648,0.5851979
0.87,-58.29449,0.33441558,0.12792934,0.57546943
0.88,-58.215897,0.3243041,0.11699495,0.58941275
0.89,-60.154144,0.32260713,0.083485946,0.58623683
0.9,-57.831387,0.32150894,0.059441045,0.57752043
0.91,-56.584312,0.33396578,0.083244935,0.57486117
0.92,-55.914574,0.33270484,0.07982792,0.58227634
0.93,-56.70834,0.32574666,0.0809585,0.584992
0.94,-55.073536,0.33587414,0.10534672,0.5801115
0.95,-58.184967,0.32879987,0.08725863,0.5807199
0.96,-56.858234,0.32980755,0.10540972,0.5809824
0.97,-55.959766,0.32684773,0.10935237,0.59077156
0.98,-52.808956,0.33186716,0.12576002,0.5828223
0.99,-55.33715,0.33207524,0.13371418,0.5784431
1.0,-56.984837,0.3288526,0.13656524,0.5708095
1.01,-54.79841,0.32963213,0.10862545,0.58579254
1.02,-53.87658,0.3312343,0.10914825,0.57161754
1.03,-56.02908,0.32514122,0.1029919,0.5769677
1.04,-53.650093,0.32253686,0.13293123,0.5765323
1.05,-55.041325,0.3285383,0.13920617,0.5839157
1.06,-55.389133,0.33550495,0.09157351,0.5695837
1.07,-53.77255,0.32645446,0.13429841,0.569191
1.08,-57.12447,0.33591807,0.120753996,0.5735555
1.09,-58.82547,0.32867566,0.11553933,0.57308716
1.1,-55.54992,0.3264703,0.1150645,0.5653452
1.11,-52.184658,0.32847685,0.102008075,0.57466525
1.12,-52.042236,0.32866684,0.10232442,0.5637033
1.13,-53.588654,0.33264822,0.13286367,0.5673714
1.14,-55.822903,0.328018,0.09946084,0.5708631
1.15,-53.319794,0.32581455,0.11055456,0.5722913
1.16,-55.384346,0.33508608,0.11136901,0.57474595
1.17,-53.130753,0.33279195,0.14033224,0.5656591
1.18,-54.950787,0.34039667,0.11780616,0.56990206
1.19,-54.060394,0.33246875,0.14929642,0.5640844
1.2,-54.0847,0.32628977,0.10396147,0.57121724
1.21,-54.66121,0.33941886,0.12003977,0.55567104
1.22,-54.248753,0.3297789,0.1180313,0.5744051
1.23,-52.669792,0.3346437,0.14354885,0.5546391
1.24,-50.235847,0.33694187,0.1534995,0.5608767
1.25,-52.975384,0.33224612,0.13889255,0.561073
1.26,-53.68517,0.34485418,0.12298216,0.5616657
1.27,-53.47494,0.33949023,0.13255692,0.5651608
1.28,-54.252766,0.3343212,0.15957409,0.5604308
1.29,-53.819595,0.34598902,0.14196818,0.5781658
1.3,-50.80168,0.3371603,0.1572306,0.55588806
1.31,-50.598026,0.33666727,0.15998931,0.56404215
1.32,-51.72891,0.33546987,0.16842316,0.5499361
1.33,-53.49157,0.3399532,0.161727,0.56304
1.34,-50.66291,0.3410616,0.17930646,0.5590402
1.35,-53.104156,0.33978325,0.14691937,0.5586608
1.36,-51.40335,0.33982486,0.18691853,0.55283535
1.37,-50.993134,0.34401107,0.122794926,0.5657052
1.38,-49.92175,0.34176207,0.20606902,0.5688908
1.39,-50.483257,0.35112643,0.15517965,0.55003273
1.4,-48.24117,0.3534328,0.1379721,0.5447764
1.41,-48.723904,0.3470653,0.16365501,0.56155586
1.42,-50.15267,0.35503912,0.18080853,0.5401914
1.43,-46.62837,0.3464864,0.15557596,0.5496311
1.44,-48.432644,0.35308117,0.1899794,0.54902244
1.45,-46.956207,0.34548548,0.16259187,0.55225986
1.46,-47.76004,0.3409183,0.19246781,0.54857993
1.47,-46.375885,0.34262,0.18732862,0.5456398
1.48,-45.00471,0.34552526,0.17211501,0.54878104
1.49,-46.780777,0.35045764,0.20167099,0.54961836
1.5,-48.26922,0.34401727,0.18117853,0.54277784
1.51,-46.614708,0.35095084,0.20390391,0.54888374
1.52,-45.48098,0.35528275,0.22446656,0.54213864
1.53,-46.195522,0.35149112,0.21449286,0.53461677
1.54,-46.86131,0.34739026,0.19244805,0.54578054
1.55,-44.619553,0.34396297,0.22054209,0.5433052
1.56,-47.277596,0.35615596,0.22114597,0.5391267
1.57,-42.63882,0.3556145,0.22056168,0.53338134
1.58,-43.631798,0.35593265,0.2091501,0.5273139
1.59,-42.47429,0.36365983,0.23810908,0.53168046
1.6,-41.895744,0.35922447,0.22320747,0.5281162
1.61,-42.6102,0.35031107,0.25130233,0.5303649
1.62,-42.431145,0.3491042,0.20390688,0.53535855
1.63,-43.590984,0.35390577,0.22159521,0.5288188
1.64,-42.41027,0.34997848,0.24947082,0.527878
1.65,-39.580395,0.3640245,0.26424542,0.5199046
1.66,-37.497826,0.36378402,0.26753664,0.5224705
1.67,-36.3089,0.36848137,0.27431613,0.5192621
1.68,-39.041508,0.3552929,0.30097914,0.5217266
1.69,-34.826164,0.37118295,0.27681306,0.5132998
1.7,-34.704365,0.3621097,0.29763433,0.51095706
1.71,-36.13432,0.36222944,0.30344266,0.5074771
1.72,-32.003883,0.36377788,0.2876549,0.5152029
1.73,-31.107677,0.36927092,0.28735667,0.50523275
1.74,-31.669098,0.36986056,0.31384453,0.5013473
1.75,-30.25014,0.3681973,0.33009216,0.49610996
1.76,-30.284046,0.3636071,0.3327991,0.4848014
1.77,-28.96487,0.3764854,0.33851358,0.50187904
1.78,-30.62257,0.3718282,0.38167977,0.49011517
1.79,-25.493458,0.37993765,0.3767032,0.48033652
1.8,-20.901363,0.37924227,0.35938877,0.4763693
1.81,-21.338535,0.39416847,0.35260612,0.47435066
1.82,-19.298384,0.3817295,0.41639668,0.46339768
1.83,-15.768438,0.38803414,0.44790742,0.46929038
1.84,-16.670458,0.3862409,0.41058034,0.4700536
1.85,-11.947479,0.38563484,0.4627026,0.46860853
1.86,-10.083084,0.3932501,0.46551278,0.45848036
1.87,-8.72307,0.39832368,0.45539296,0.45128343
1.88,-3.359324,0.3999684,0.48784015,0.44541708
1.89,-3.139135,0.41078454,0.53447217,0.45304096
1.9,0.61868966,0.40675908,0.5423332,0.44676515
1.91,3.3142765,0.41338462,0.538211,0.43575472
1.92,6.1953344,0.413038,0.56715,0.4268662
1.93,10.72118,0.4087051,0.5884508,0.42254353
1.94,15.525513,0.42310807,0.611431,0.4226357
1.95,14.246744,0.41658175,0.60300606,0.41726354
1.96,17.637064,0.42368123,0.64191735,0.40384743
1.97,23.489807,0.43027598,0.68390346,0.39777195
1.98,26.389254,0.4319568,0.6738151,0.40716392
1.99,26.1238,0.4378384,0.7001121,0.40396446
2.0,27.168756,0.44210914,0.7283886,0.3961402
2.01,29.098145,0.44797724,0.7509331,0.39646858
2.02,33.202946,0.45367107,0.75442195,0.39570594
2.03,35.403316,0.45716447,0.76749027,0.38907745
2.04,39.314224,0.45381346,0.7823191,0.38633606
2.05,39.44613,0.4667287,0.82364327,0.37869054
2.06,36.658016,0.47602877,0.8435369,0.38264522
2.07,39.095215,0.47535825,0.8444599,0.37129012
2.08,38.101856,0.47741178,0.8505114,0.3566584
2.09,40.040203,0.49102625,0.85434645,0.36304113
2.1,38.249065,0.48815474,0.87394255,0.3536942
2.11,38.7168,0.49132958,0.8838417,0.3635925
2.12,41.458996,0.49416053,0.8735475,0.3548168
2.13,39.145885,0.5021382,0.9019898,0.34767166
2.14,38.676064,0.51038355,0.9067081,0.3485898
2.15,40.98699,0.5093009,0.90435374,0.3453922
2.16,38.45878,0.51753855,0.91987574,0.34223285
